INFO:root:Start Classifier training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 2.144418309059143	Top1 accuracy: 31.95199966430664
DEBUG:root:Epoch: 1	Loss: 1.4810491756439208	Top1 accuracy: 45.84000015258789
DEBUG:root:Epoch: 2	Loss: 1.2709041067504883	Top1 accuracy: 54.01599884033203
DEBUG:root:Epoch: 3	Loss: 1.137827770462036	Top1 accuracy: 59.45800018310547
DEBUG:root:Epoch: 4	Loss: 1.04030190410614	Top1 accuracy: 63.09199905395508
DEBUG:root:Epoch: 5	Loss: 0.9828843976593018	Top1 accuracy: 65.47000122070312
DEBUG:root:Epoch: 6	Loss: 0.9268801003265381	Top1 accuracy: 67.60399627685547
DEBUG:root:Epoch: 7	Loss: 0.8837597477722168	Top1 accuracy: 69.31600189208984
DEBUG:root:Epoch: 8	Loss: 0.8612892993545532	Top1 accuracy: 70.25599670410156
DEBUG:root:Epoch: 9	Loss: 0.8224512924575805	Top1 accuracy: 71.41199493408203
DEBUG:root:Epoch: 10	Loss: 0.8114797556304931	Top1 accuracy: 71.9739990234375
DEBUG:root:Epoch: 11	Loss: 0.7870052719306946	Top1 accuracy: 72.98600006103516
DEBUG:root:Epoch: 12	Loss: 0.778773004989624	Top1 accuracy: 73.05799865722656
DEBUG:root:Epoch: 13	Loss: 0.7718489344406128	Top1 accuracy: 73.3759994506836
DEBUG:root:Epoch: 14	Loss: 0.7541937250137329	Top1 accuracy: 74.22200012207031
DEBUG:root:Epoch: 15	Loss: 0.7436364858436585	Top1 accuracy: 74.33399963378906
DEBUG:root:Epoch: 16	Loss: 0.7391861117172241	Top1 accuracy: 74.54999542236328
DEBUG:root:Epoch: 17	Loss: 0.7344020589065552	Top1 accuracy: 74.5739974975586
DEBUG:root:Epoch: 18	Loss: 0.7300168983650207	Top1 accuracy: 74.87999725341797
DEBUG:root:Epoch: 19	Loss: 0.7191943118667603	Top1 accuracy: 75.44400024414062
DEBUG:root:Epoch: 20	Loss: 0.712231168422699	Top1 accuracy: 75.84600067138672
DEBUG:root:Epoch: 21	Loss: 0.7097769989395142	Top1 accuracy: 75.75599670410156
DEBUG:root:Epoch: 22	Loss: 0.7103723794174195	Top1 accuracy: 75.53599548339844
DEBUG:root:Epoch: 23	Loss: 0.6949236321640014	Top1 accuracy: 76.26599884033203
DEBUG:root:Epoch: 24	Loss: 0.6916755534553528	Top1 accuracy: 76.3699951171875
DEBUG:root:Epoch: 25	Loss: 0.695263232383728	Top1 accuracy: 76.25999450683594
DEBUG:root:Epoch: 26	Loss: 0.6872044607543946	Top1 accuracy: 76.4939956665039
DEBUG:root:Epoch: 27	Loss: 0.68955563747406	Top1 accuracy: 76.2239990234375
DEBUG:root:Epoch: 28	Loss: 0.6847401664733886	Top1 accuracy: 76.6520004272461
DEBUG:root:Epoch: 29	Loss: 0.6743548579025268	Top1 accuracy: 76.7979965209961
DEBUG:root:Epoch: 30	Loss: 0.6659469969177246	Top1 accuracy: 77.19999694824219
DEBUG:root:Epoch: 31	Loss: 0.672168780784607	Top1 accuracy: 76.81599426269531
DEBUG:root:Epoch: 32	Loss: 0.6710119167900086	Top1 accuracy: 77.09199523925781
DEBUG:root:Epoch: 33	Loss: 0.6650606160736084	Top1 accuracy: 77.36399841308594
DEBUG:root:Epoch: 34	Loss: 0.6597907817459107	Top1 accuracy: 77.65399932861328
DEBUG:root:Epoch: 35	Loss: 0.6588970411872864	Top1 accuracy: 77.43599700927734
DEBUG:root:Epoch: 36	Loss: 0.6618295718955993	Top1 accuracy: 77.35599517822266
DEBUG:root:Epoch: 37	Loss: 0.6534714384841919	Top1 accuracy: 77.68399810791016
DEBUG:root:Epoch: 38	Loss: 0.6553925685119629	Top1 accuracy: 77.5199966430664
DEBUG:root:Epoch: 39	Loss: 0.6463022606468201	Top1 accuracy: 77.89599609375
DEBUG:root:Epoch: 40	Loss: 0.6433388499641418	Top1 accuracy: 78.07799530029297
DEBUG:root:Epoch: 41	Loss: 0.6485573062705994	Top1 accuracy: 77.83599853515625
DEBUG:root:Epoch: 42	Loss: 0.6465970226860046	Top1 accuracy: 78.0199966430664
DEBUG:root:Epoch: 43	Loss: 0.636963435268402	Top1 accuracy: 78.30999755859375
DEBUG:root:Epoch: 44	Loss: 0.6379376054573059	Top1 accuracy: 78.12999725341797
DEBUG:root:Epoch: 45	Loss: 0.6380479125595093	Top1 accuracy: 78.09600067138672
DEBUG:root:Epoch: 46	Loss: 0.6246810527420044	Top1 accuracy: 78.48799896240234
DEBUG:root:Epoch: 47	Loss: 0.6232894640731812	Top1 accuracy: 78.65999603271484
DEBUG:root:Epoch: 48	Loss: 0.6297132420349121	Top1 accuracy: 78.48199462890625
DEBUG:root:Epoch: 49	Loss: 0.6268660476875305	Top1 accuracy: 78.31800079345703
DEBUG:root:Epoch: 50	Loss: 0.6219471662902832	Top1 accuracy: 78.57599639892578
DEBUG:root:Epoch: 51	Loss: 0.6203732291030883	Top1 accuracy: 78.8479995727539
DEBUG:root:Epoch: 52	Loss: 0.6190985773086548	Top1 accuracy: 78.73999786376953
DEBUG:root:Epoch: 53	Loss: 0.613951031332016	Top1 accuracy: 78.94400024414062
DEBUG:root:Epoch: 54	Loss: 0.6082541858005523	Top1 accuracy: 79.18000030517578
DEBUG:root:Epoch: 55	Loss: 0.6134101819992065	Top1 accuracy: 79.15999603271484
DEBUG:root:Epoch: 56	Loss: 0.6004628217697143	Top1 accuracy: 79.54000091552734
DEBUG:root:Epoch: 57	Loss: 0.6031125219917297	Top1 accuracy: 79.2719955444336
DEBUG:root:Epoch: 58	Loss: 0.6012310723495483	Top1 accuracy: 79.33999633789062
DEBUG:root:Epoch: 59	Loss: 0.5999884820938111	Top1 accuracy: 79.58999633789062
DEBUG:root:Epoch: 60	Loss: 0.5924026685905457	Top1 accuracy: 79.64799499511719
DEBUG:root:Epoch: 61	Loss: 0.5894031594085694	Top1 accuracy: 79.73199462890625
DEBUG:root:Epoch: 62	Loss: 0.5866298288822174	Top1 accuracy: 79.98400115966797
DEBUG:root:Epoch: 63	Loss: 0.5911367189216614	Top1 accuracy: 79.81800079345703
DEBUG:root:Epoch: 64	Loss: 0.590187043838501	Top1 accuracy: 79.79199981689453
DEBUG:root:Epoch: 65	Loss: 0.5834913765144348	Top1 accuracy: 79.9020004272461
DEBUG:root:Epoch: 66	Loss: 0.5780359654045105	Top1 accuracy: 80.31599426269531
DEBUG:root:Epoch: 67	Loss: 0.5793180146408081	Top1 accuracy: 80.28399658203125
DEBUG:root:Epoch: 68	Loss: 0.5748970925903321	Top1 accuracy: 80.14599609375
DEBUG:root:Epoch: 69	Loss: 0.5765993344497681	Top1 accuracy: 80.31599426269531
DEBUG:root:Epoch: 70	Loss: 0.56823834815979	Top1 accuracy: 80.68199920654297
DEBUG:root:Epoch: 71	Loss: 0.5639572105789185	Top1 accuracy: 80.65399932861328
DEBUG:root:Epoch: 72	Loss: 0.5708455695343018	Top1 accuracy: 80.52999877929688
DEBUG:root:Epoch: 73	Loss: 0.5576944058609009	Top1 accuracy: 80.85399627685547
DEBUG:root:Epoch: 74	Loss: 0.56194246758461	Top1 accuracy: 80.75399780273438
DEBUG:root:Epoch: 75	Loss: 0.5559016218376159	Top1 accuracy: 80.88800048828125
DEBUG:root:Epoch: 76	Loss: 0.5558769640731811	Top1 accuracy: 81.0219955444336
DEBUG:root:Epoch: 77	Loss: 0.5544042450141907	Top1 accuracy: 81.05799865722656
DEBUG:root:Epoch: 78	Loss: 0.5491201553535462	Top1 accuracy: 81.14799499511719
DEBUG:root:Epoch: 79	Loss: 0.548528341846466	Top1 accuracy: 81.20600128173828
DEBUG:root:Epoch: 80	Loss: 0.5369306466674805	Top1 accuracy: 81.63399505615234
DEBUG:root:Epoch: 81	Loss: 0.5351365323543549	Top1 accuracy: 81.6199951171875
DEBUG:root:Epoch: 82	Loss: 0.5376790023422241	Top1 accuracy: 81.54000091552734
DEBUG:root:Epoch: 83	Loss: 0.5343069821357727	Top1 accuracy: 81.60599517822266
DEBUG:root:Epoch: 84	Loss: 0.5339780095863342	Top1 accuracy: 81.6199951171875
DEBUG:root:Epoch: 85	Loss: 0.5225807649421692	Top1 accuracy: 82.22999572753906
DEBUG:root:Epoch: 86	Loss: 0.5203838320922851	Top1 accuracy: 82.2959976196289
DEBUG:root:Epoch: 87	Loss: 0.5275482162666321	Top1 accuracy: 81.91400146484375
DEBUG:root:Epoch: 88	Loss: 0.5164250643539429	Top1 accuracy: 82.1719970703125
DEBUG:root:Epoch: 89	Loss: 0.5134359325408936	Top1 accuracy: 82.41199493408203
DEBUG:root:Epoch: 90	Loss: 0.5166225023269654	Top1 accuracy: 82.2239990234375
DEBUG:root:Epoch: 91	Loss: 0.5155875463867188	Top1 accuracy: 82.36000061035156
DEBUG:root:Epoch: 92	Loss: 0.5009878639793396	Top1 accuracy: 82.75799560546875
DEBUG:root:Epoch: 93	Loss: 0.5031231948471069	Top1 accuracy: 82.7959976196289
DEBUG:root:Epoch: 94	Loss: 0.49599279407501223	Top1 accuracy: 82.8219985961914
DEBUG:root:Epoch: 95	Loss: 0.49914973834991455	Top1 accuracy: 82.98600006103516
DEBUG:root:Epoch: 96	Loss: 0.4917445584106445	Top1 accuracy: 83.14599609375
DEBUG:root:Epoch: 97	Loss: 0.4976438590621948	Top1 accuracy: 83.16600036621094
DEBUG:root:Epoch: 98	Loss: 0.478906480550766	Top1 accuracy: 83.46599578857422
DEBUG:root:Epoch: 99	Loss: 0.4886497887802124	Top1 accuracy: 83.1199951171875
DEBUG:root:Epoch: 100	Loss: 0.47920640460968017	Top1 accuracy: 83.46399688720703
DEBUG:root:Epoch: 101	Loss: 0.4772409209060669	Top1 accuracy: 83.593994140625
DEBUG:root:Epoch: 102	Loss: 0.4709473205566406	Top1 accuracy: 83.8740005493164
DEBUG:root:Epoch: 103	Loss: 0.4654708721542358	Top1 accuracy: 84.093994140625
DEBUG:root:Epoch: 104	Loss: 0.4659136077594757	Top1 accuracy: 84.01799774169922
DEBUG:root:Epoch: 105	Loss: 0.45019414128303525	Top1 accuracy: 84.6199951171875
DEBUG:root:Epoch: 106	Loss: 0.4532951174736023	Top1 accuracy: 84.41400146484375
DEBUG:root:Epoch: 107	Loss: 0.4573421571159363	Top1 accuracy: 84.2699966430664
DEBUG:root:Epoch: 108	Loss: 0.44548244354248046	Top1 accuracy: 84.68399810791016
DEBUG:root:Epoch: 109	Loss: 0.4424479400444031	Top1 accuracy: 84.66799926757812
DEBUG:root:Epoch: 110	Loss: 0.44011749040603637	Top1 accuracy: 84.8740005493164
DEBUG:root:Epoch: 111	Loss: 0.4411263598060608	Top1 accuracy: 84.89799499511719
DEBUG:root:Epoch: 112	Loss: 0.428826298789978	Top1 accuracy: 85.25199890136719
DEBUG:root:Epoch: 113	Loss: 0.43105353176116945	Top1 accuracy: 85.0459976196289
DEBUG:root:Epoch: 114	Loss: 0.4278606729793549	Top1 accuracy: 85.24800109863281
DEBUG:root:Epoch: 115	Loss: 0.42344708297729494	Top1 accuracy: 85.47999572753906
DEBUG:root:Epoch: 116	Loss: 0.4127393645763397	Top1 accuracy: 85.66799926757812
DEBUG:root:Epoch: 117	Loss: 0.4099304749011993	Top1 accuracy: 85.71599578857422
DEBUG:root:Epoch: 118	Loss: 0.4072115406513214	Top1 accuracy: 85.95399475097656
DEBUG:root:Epoch: 119	Loss: 0.403704936170578	Top1 accuracy: 86.06599426269531
DEBUG:root:Epoch: 120	Loss: 0.39488420793533324	Top1 accuracy: 86.55999755859375
DEBUG:root:Epoch: 121	Loss: 0.39594849196434023	Top1 accuracy: 86.2179946899414
DEBUG:root:Epoch: 122	Loss: 0.38782528944969175	Top1 accuracy: 86.66999816894531
DEBUG:root:Epoch: 123	Loss: 0.3846423893547058	Top1 accuracy: 86.60199737548828
DEBUG:root:Epoch: 124	Loss: 0.3814788813114166	Top1 accuracy: 86.87799835205078
DEBUG:root:Epoch: 125	Loss: 0.36981002828598025	Top1 accuracy: 87.1520004272461
DEBUG:root:Epoch: 126	Loss: 0.3737749768257141	Top1 accuracy: 87.0260009765625
DEBUG:root:Epoch: 127	Loss: 0.367220277671814	Top1 accuracy: 87.34199523925781
DEBUG:root:Epoch: 128	Loss: 0.36562680795669555	Top1 accuracy: 87.37799835205078
DEBUG:root:Epoch: 129	Loss: 0.35721242535591125	Top1 accuracy: 87.54000091552734
DEBUG:root:Epoch: 130	Loss: 0.3512463862514496	Top1 accuracy: 87.75399780273438
DEBUG:root:Epoch: 131	Loss: 0.34586182179450986	Top1 accuracy: 88.04000091552734
DEBUG:root:Epoch: 132	Loss: 0.34326460262298586	Top1 accuracy: 88.06800079345703
DEBUG:root:Epoch: 133	Loss: 0.3394110597419739	Top1 accuracy: 88.22999572753906
DEBUG:root:Epoch: 134	Loss: 0.3330940201377869	Top1 accuracy: 88.41600036621094
DEBUG:root:Epoch: 135	Loss: 0.3275503682136536	Top1 accuracy: 88.81599426269531
DEBUG:root:Epoch: 136	Loss: 0.32432847623825073	Top1 accuracy: 88.80199432373047
DEBUG:root:Epoch: 137	Loss: 0.31792012784957885	Top1 accuracy: 88.96399688720703
DEBUG:root:Epoch: 138	Loss: 0.3084133732891083	Top1 accuracy: 89.21199798583984
DEBUG:root:Epoch: 139	Loss: 0.308038011136055	Top1 accuracy: 89.3239974975586
DEBUG:root:Epoch: 140	Loss: 0.2978612271308899	Top1 accuracy: 89.6719970703125
DEBUG:root:Epoch: 141	Loss: 0.2942711721038818	Top1 accuracy: 89.593994140625
DEBUG:root:Epoch: 142	Loss: 0.2906887481307983	Top1 accuracy: 89.84600067138672
DEBUG:root:Epoch: 143	Loss: 0.28572315172195434	Top1 accuracy: 90.0979995727539
DEBUG:root:Epoch: 144	Loss: 0.2791754138374329	Top1 accuracy: 90.33200073242188
DEBUG:root:Epoch: 145	Loss: 0.2773720334148407	Top1 accuracy: 90.2179946899414
DEBUG:root:Epoch: 146	Loss: 0.2652281563949585	Top1 accuracy: 90.593994140625
DEBUG:root:Epoch: 147	Loss: 0.2596885921859741	Top1 accuracy: 91.0459976196289
DEBUG:root:Epoch: 148	Loss: 0.25444551481246946	Top1 accuracy: 91.29399871826172
DEBUG:root:Epoch: 149	Loss: 0.24958522404193878	Top1 accuracy: 91.25999450683594
DEBUG:root:Epoch: 150	Loss: 0.24249817455768585	Top1 accuracy: 91.45999908447266
DEBUG:root:Epoch: 151	Loss: 0.23751279013633728	Top1 accuracy: 91.73999786376953
DEBUG:root:Epoch: 152	Loss: 0.23066521978378296	Top1 accuracy: 92.06399536132812
DEBUG:root:Epoch: 153	Loss: 0.22383546211242675	Top1 accuracy: 92.26599884033203
DEBUG:root:Epoch: 154	Loss: 0.21929362910270692	Top1 accuracy: 92.46599578857422
DEBUG:root:Epoch: 155	Loss: 0.21047654479026795	Top1 accuracy: 92.66600036621094
DEBUG:root:Epoch: 156	Loss: 0.20502235081195833	Top1 accuracy: 92.8740005493164
DEBUG:root:Epoch: 157	Loss: 0.2026709676551819	Top1 accuracy: 92.91199493408203
DEBUG:root:Epoch: 158	Loss: 0.19430703536987304	Top1 accuracy: 93.2439956665039
DEBUG:root:Epoch: 159	Loss: 0.1857649026632309	Top1 accuracy: 93.48999786376953
DEBUG:root:Epoch: 160	Loss: 0.17672192357063293	Top1 accuracy: 93.86599731445312
DEBUG:root:Epoch: 161	Loss: 0.17485827247619629	Top1 accuracy: 93.87199401855469
DEBUG:root:Epoch: 162	Loss: 0.16478282491207122	Top1 accuracy: 94.30199432373047
